"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",1.81469506748839,4.45161389633392,10.8031504562341,5.9526718198715e-12,5.56746741098923e-08,17.1412382982851
"PCSK1N",2.46724678259826,6.13293016443015,10.6676491928094,8.09166108711464e-12,5.56746741098923e-08,16.899050680687
"ROMO1",2.00323335028369,2.0376317002559,10.0228524221091,3.60079604155979e-11,1.65168514426348e-07,14.7674963399147
"ATP5I",1.32782209791129,2.96379856791153,9.25445069694042,2.28901456097009e-10,6.58786062498825e-07,13.532784261778
"CHCHD10",1.65176587705154,3.16469801259809,9.22290576794216,2.47367827093426e-10,6.58786062498825e-07,13.4803379486592
"FAM96B",1.44217479369278,3.39330736221604,9.16229351461739,2.87240489426128e-10,6.58786062498825e-07,13.3874856698552
"CHPF",1.29632739548431,5.9554206077741,9.041133085814,3.87802819184702e-10,7.62364942114384e-07,13.2067452208328
"COX6B1",1.35135107124796,4.18355943142207,8.93749740306032,5.02094021980224e-10,8.63664479558734e-07,12.9278088155232
"NAA38",1.74026075736418,2.77297792010207,8.83512035014915,6.48930131690388e-10,9.46493783954811e-07,12.4980007739294
"MZT2A",1.51861559557568,4.18939501396372,8.8096185482912,6.91900043892773e-10,9.46493783954811e-07,12.6191693597522
"RAMP1",1.41340097472373,4.33299585769912,8.774124863589,7.56589755359561e-10,9.46493783954811e-07,12.5402096675725
"NDUFA11",1.20327799876379,4.18819281920046,8.65825173612992,1.0141005964644e-09,1.039500132383e-06,12.2571830338479
"ECH1",1.00588654582027,4.72533077748091,8.64998785746095,1.03557907633986e-09,1.039500132383e-06,12.2517317169182
"ADORA1",1.24993945085734,5.51282806567598,8.64171197555869,1.05755409151675e-09,1.039500132383e-06,12.2363952725414
"VPS51",1.08786946296883,5.49395936244387,8.53377951902558,1.39184019262727e-09,1.27687419271625e-06,11.9710488929282
"AP1B1",0.981371079053508,6.67130342679151,8.49167902663161,1.54987556101086e-09,1.3329898496919e-06,11.866120279157
"C4orf48",2.61379504756376,1.97479965283637,8.44264608036851,1.75719894625928e-09,1.42240086467494e-06,11.2188297464588
"NDUFS7",0.868939700907558,5.44023226476426,8.39949762685745,1.96296739227841e-09,1.48321332881509e-06,11.6382333478485
"PPP4R3B",-0.699100683652897,5.78592777654051,-8.36793558833365,2.12890997716951e-09,1.48321332881509e-06,11.5605433936035
"MZT2B",1.43132718585313,4.31022923546433,8.36308060929954,2.15567666421785e-09,1.48321332881509e-06,11.5345142516917
"NDUFB7",1.36171758564271,3.90602324187524,8.28536135422988,2.63407377531374e-09,1.63393146605854e-06,11.3298514729909
"RPL27",1.53744455922433,3.90713267056044,8.2829702340065,2.65039913374308e-09,1.63393146605854e-06,11.3211304881051
"VPS28",0.875640652302808,4.62440154878197,8.25759079816118,2.83016647987293e-09,1.63393146605854e-06,11.2803685826553
"POLRMT",0.909994541007944,5.48677081739892,8.25493623178134,2.84967336570053e-09,1.63393146605854e-06,11.2767621764085
"LONP1",0.952695231542096,5.82002730374462,8.21284729768539,3.17793626708517e-09,1.68831857206995e-06,11.1710731520993
"THAP5",-1.14127769071964,4.19770174932154,-8.19856209389876,3.29790642675424e-09,1.68831857206995e-06,11.1319604507692
"SLC35B3",-1.33931462205878,2.31348869704496,-8.18773028842727,3.39194284434601e-09,1.68831857206995e-06,10.9842663144003
"LCORL",-1.02865894352127,4.10873258274398,-8.18284071839052,3.4352823209039e-09,1.68831857206995e-06,11.0916487726109
"MED16",0.968104974193516,5.18041345083254,8.14590729708455,3.78141524418301e-09,1.79434673017939e-06,11.0019675839867
"PRDX5",1.07274808472763,4.76104651477786,8.09656259002213,4.30005194453596e-09,1.81346292225532e-06,10.8761584057722
"ZNF654",-1.01875833127445,4.06782579941378,-8.08866512332141,4.38954804939021e-09,1.81346292225532e-06,10.8544849233989
"INAFM1",1.23913454843394,3.23054435811415,8.08567830141366,4.42388790721334e-09,1.81346292225532e-06,10.7973545174152
"MT3",1.70685548557723,6.48960292862843,8.08520105506663,4.42940016591384e-09,1.81346292225532e-06,10.8483690414843
"GNPTG",0.920005297255773,5.55283613395479,8.08079564602538,4.48061473415311e-09,1.81346292225532e-06,10.8375301047301
"NDUFA3",1.13209512458502,3.59180934575565,8.05634916870197,4.7759774667969e-09,1.86990884751555e-06,10.7515888007858
"UBL5",1.38459855699745,2.91360076171781,8.03788233968593,5.01218471354242e-09,1.86990884751555e-06,10.6429289261937
"G6PD",0.950751699998031,4.61947458155438,8.01564370802433,5.3124949775369e-09,1.86990884751555e-06,10.6711788190804
"ELMOD2",-1.10500214836216,3.82601569258109,-8.01360644001108,5.340906585199e-09,1.86990884751555e-06,10.6622501782887
"FBXW5",1.22265890620864,6.38698114085361,8.00607612521432,5.44727359022854e-09,1.86990884751555e-06,10.6478745367537
"PNPLA2",1.22021776082146,5.31404306960496,7.99779474594075,5.56674252885989e-09,1.86990884751555e-06,10.6268163510092
"LYPLAL1",-1.10971217686868,3.68082715023389,-7.98280524513153,5.78981325394789e-09,1.86990884751555e-06,10.5820705815459
"OTUD5",0.9340707814284,5.54244086696291,7.98040913239845,5.82630640170818e-09,1.86990884751555e-06,10.5824590928467
"FSD1L",-1.02715433690535,4.20149212924391,-7.9793154888274,5.84304050891422e-09,1.86990884751555e-06,10.578943938782
"EDF1",1.1580368317487,4.2353248007526,7.96704296561106,6.03421545159033e-09,1.88720088248488e-06,10.5440904880488
"MAP3K2",-0.93045949827148,6.28090822800129,-7.94606818879751,6.37581855002032e-09,1.94972531259621e-06,10.4945619625533
"ICE2",-1.06042474750048,4.65627483697107,-7.90386203932539,7.12411197803018e-09,2.13119358542768e-06,10.3874080837589
"RBM41",-1.07241145180793,3.94403299542778,-7.89336101762263,7.32380286221476e-09,2.1443159827008e-06,10.3589740901011
"AIP",0.866455857568669,4.70755819924935,7.87195197149196,7.74875854073167e-09,2.22147221414601e-06,10.3059796216525
"LDB1",1.03455617728755,5.20298103869025,7.85174510220751,8.17287106672228e-09,2.29524242345235e-06,10.2540834855456
"C19orf53",1.4237991016855,2.83543645496804,7.83777335682257,8.47986562799362e-09,2.33382861813641e-06,10.1406460426301
"RAB11B",0.898533447268019,6.44162631425143,7.8105635746478,9.11184923919042e-09,2.43274440240726e-06,10.1481024991573
"PSMA7",0.881326890254613,4.39301789499045,7.80721605409053,9.19284273854933e-09,2.43274440240726e-06,10.1398914978341
"ELOF1",1.08479240159092,3.53110807409061,7.79139805085856,9.5855848335524e-09,2.48881571499084e-06,10.0834211756675
"FAM35A",-0.803567828529084,3.64158562813007,-7.75993180890411,1.04183907038736e-08,2.65495323103713e-06,10.0158794845413
"RTN4R",1.77735038446704,3.70076407704193,7.71534990311159,1.17260972835944e-08,2.93276263003655e-06,9.88848811625416
"KIAA1033",-1.05678631839447,5.69038445463731,-7.70870639879856,1.19347945121755e-08,2.93276263003655e-06,9.88380937468082
