"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPL27",1.64136685309008,3.90736341423476,11.9190652016143,5.12653083472078e-13,7.01822071273274e-09,19.3959116936729
"NDUFA11",1.26656506680389,4.18842356287478,11.4388786592365,1.44018857720303e-12,9.85809081095472e-09,18.4937248610822
"COX8A",1.79833266277668,4.45184464000824,11.0811804267803,3.16551809179552e-12,1.44453142255602e-08,17.7594940471546
"NDUFA3",1.16146593540157,3.59204008942997,9.37360782025109,1.69815302245391e-10,5.692206241854e-07,13.9389144140572
"LONP1",0.980833252096023,5.82025804741894,9.18900761216217,2.67182327425905e-10,5.692206241854e-07,13.5695077763998
"SAP130",0.89536041965063,5.03172241514724,9.1385504057389,3.02654249080304e-10,5.692206241854e-07,13.4461960354544
"AP1B1",1.00100367924378,6.67153417046583,9.0946588818675,3.37411063020059e-10,5.692206241854e-07,13.3391077157245
"ROMO1",1.89304247484057,2.03786244393022,9.08410858487489,3.46357261171504e-10,5.692206241854e-07,12.9151540930709
"RASA2",-1.14469858113507,4.70595551622433,-8.98770230588359,4.40219499194742e-10,5.692206241854e-07,13.0840792234099
"VPS28",0.889315853608931,4.62463229245629,8.96549023243995,4.65306929998024e-10,5.692206241854e-07,13.0258047142601
"VPS51",1.09793500960441,5.49419010611819,8.95950522950147,4.72313127853895e-10,5.692206241854e-07,13.0180639926678
"G6PD",0.970806643733977,4.6197053252287,8.86345631831176,6.00717781627897e-10,5.692206241854e-07,12.7790088960735
"NAA38",1.69274637923045,2.77320866377639,8.84469584711712,6.2969659930528e-10,5.692206241854e-07,12.5764488976646
"PCSK1N",2.35057591245117,6.13316090810447,8.8436180913424,6.31404098130734e-10,5.692206241854e-07,12.730727827282
"PNPLA2",1.24943981687248,5.31427381327928,8.82944325657629,6.54306363598391e-10,5.692206241854e-07,12.7015740987684
"C4orf48",2.53927252531768,1.97503039651069,8.7620078195361,7.75447652017349e-10,5.692206241854e-07,12.091160321451
"MT3",1.74694981481103,6.48983367230275,8.75555831210904,7.88172890651039e-10,5.692206241854e-07,12.5186541994623
